date,ticker,open,high,low,close,volume,instrument_type
2021-05-07,VOO,386.0199890136719,388.67999267578125,385.3299865722656,388.0299987792969,3516600,ETF
2021-05-10,VOO,388.4100036621094,388.6600036621094,384.0899963378906,384.2300109863281,5942700,ETF
2021-05-11,VOO,379.75,381.739990234375,376.95001220703125,380.8599853515625,7081500,ETF
2021-05-12,VOO,378.0400085449219,379.2699890136719,372.1300048828125,372.7300109863281,7707400,ETF
2021-05-13,VOO,374.2099914550781,379.04998779296875,374.1700134277344,377.1600036621094,7179100,ETF
2021-05-14,VOO,379.80999755859375,383.7900085449219,379.80999755859375,382.95001220703125,5167900,ETF
2021-05-17,VOO,381.8999938964844,382.75,380.0,382.0299987792969,3781600,ETF
2021-05-18,VOO,382.25,382.4700012207031,378.5400085449219,378.7300109863281,3128300,ETF
2021-05-19,VOO,374.05999755859375,377.8399963378906,372.6199951171875,377.7300109863281,5086300,ETF
2021-05-20,VOO,378.57000732421875,382.989990234375,378.45001220703125,381.760009765625,4776700,ETF
2021-05-21,VOO,383.2300109863281,384.45001220703125,381.010009765625,381.4700012207031,3567500,ETF
2021-05-24,VOO,383.69000244140625,386.3999938964844,383.44000244140625,385.32000732421875,2962500,ETF
2021-05-25,VOO,386.3999938964844,386.760009765625,383.94000244140625,384.510009765625,4031800,ETF
2021-05-26,VOO,385.0899963378906,385.75,384.07000732421875,385.2099914550781,2642700,ETF
2021-05-27,VOO,386.2799987792969,386.7799987792969,385.32000732421875,385.3800048828125,3015900,ETF
2021-05-28,VOO,387.0299987792969,387.2699890136719,385.94000244140625,386.1300048828125,3370100,ETF
2021-06-01,VOO,388.5,388.6199951171875,385.3800048828125,385.8299865722656,4389000,ETF
2021-06-02,VOO,386.45001220703125,387.239990234375,385.4700012207031,386.4800109863281,3209200,ETF
2021-06-03,VOO,384.1700134277344,386.1099853515625,382.70001220703125,385.010009765625,3391000,ETF
2021-06-04,VOO,386.80999755859375,388.79998779296875,386.760009765625,388.5,2628100,ETF
2021-06-07,VOO,388.5199890136719,388.69000244140625,387.25,388.1700134277344,2500600,ETF
2021-06-08,VOO,389.0,389.0799865722656,386.44000244140625,388.2300109863281,2386600,ETF
2021-06-09,VOO,389.0799865722656,389.1300048828125,387.4100036621094,387.6199951171875,2968100,ETF
2021-06-10,VOO,388.8599853515625,390.3599853515625,387.5799865722656,389.4100036621094,2611800,ETF
2021-06-11,VOO,390.0,390.20001220703125,388.7300109863281,390.0899963378906,2241500,ETF
2021-06-14,VOO,390.2099914550781,391.07000732421875,389.0,391.07000732421875,2252200,ETF
