date,ticker,open,high,low,close,volume,instrument_type
2021-05-07,IWM,222.66000366210938,225.92999267578125,222.16000366210938,225.38999938964844,26172700,ETF
2021-05-10,IWM,225.22999572753906,225.6699981689453,219.58999633789062,219.66000366210938,28109100,ETF
2021-05-11,IWM,214.9199981689453,220.38999938964844,214.4199981689453,218.9600067138672,39519500,ETF
2021-05-12,IWM,217.10000610351562,218.77000427246094,211.5399932861328,211.85000610351562,42113400,ETF
2021-05-13,IWM,213.30999755859375,217.44000244140625,211.8000030517578,215.75,37739900,ETF
2021-05-14,IWM,217.94000244140625,221.41000366210938,215.67999267578125,221.02000427246094,25070400,ETF
2021-05-17,IWM,219.77999877929688,221.38999938964844,217.89999389648438,221.32000732421875,20048500,ETF
2021-05-18,IWM,221.38999938964844,223.24000549316406,219.47000122070312,219.63999938964844,24564500,ETF
2021-05-19,IWM,216.02999877929688,218.16000366210938,214.0500030517578,217.9499969482422,31202800,ETF
2021-05-20,IWM,218.27000427246094,219.8699951171875,216.3300018310547,219.39999389648438,24932800,ETF
2021-05-21,IWM,221.3300018310547,222.3699951171875,219.35000610351562,219.97000122070312,24213700,ETF
2021-05-24,IWM,221.17999267578125,222.4499969482422,220.0,221.39999389648438,18324200,ETF
2021-05-25,IWM,222.22999572753906,223.7100067138672,219.19000244140625,219.25999450683594,20514900,ETF
2021-05-26,IWM,220.1300048828125,223.69000244140625,220.1199951171875,223.35000610351562,20388200,ETF
2021-05-27,IWM,225.0399932861328,226.36000061035156,224.17999267578125,225.64999389648438,21225700,ETF
2021-05-28,IWM,227.0800018310547,227.17999267578125,225.0500030517578,225.5,20668400,ETF
2021-06-01,IWM,227.4600067138672,228.55999755859375,225.9600067138672,228.05999755859375,23081500,ETF
2021-06-02,IWM,228.91000366210938,228.9199981689453,226.8300018310547,228.3300018310547,18927500,ETF
2021-06-03,IWM,226.82000732421875,227.6199951171875,224.0399932861328,226.4199981689453,24811500,ETF
2021-06-04,IWM,227.55999755859375,228.05999755859375,226.2100067138672,227.39999389648438,19395800,ETF
2021-06-07,IWM,227.88999938964844,230.77999877929688,227.25,230.4499969482422,24049900,ETF
2021-06-08,IWM,231.2100067138672,233.47999572753906,229.97999572753906,232.88999938964844,27770300,ETF
2021-06-09,IWM,233.5399932861328,233.63999938964844,230.97999572753906,231.33999633789062,18700600,ETF
2021-06-10,IWM,231.67999267578125,232.17999267578125,228.7100067138672,229.27999877929688,29069000,ETF
2021-06-11,IWM,230.3000030517578,231.8000030517578,230.07000732421875,231.6999969482422,16707200,ETF
2021-06-14,IWM,232.30999755859375,233.35000610351562,230.13999938964844,231.02000427246094,19182800,ETF
2021-06-15,IWM,231.1199951171875,231.47000122070312,228.47999572753906,230.36000061035156,17039900,ETF
2021-06-16,IWM,229.6999969482422,230.67999267578125,227.63999938964844,229.8699951171875,24527000,ETF
2021-06-17,IWM,229.24000549316406,230.1999969482422,224.52000427246094,227.2899932861328,48292500,ETF
